index,track_name
138,Who Needs Shelter
139,No Stopping Us
140,I'll Do Anything
141,Make You Feel My Love
142,The Remedy (I Won't Worry)
143,Too Much Food
144,The Boy's Gone
145,"On Love, in Sadness"
146,Curbside Prophet
147,"Tonight, Not Again - Live"
148,"Tonight, Not Again"
149,Hard Sun
150,Here with Me
151,The Scientist
152,Collide
153,get better
154,Sympathy
155,Let It Go
156,What You Need
157,100 Years
158,You're the Sea
159,No Direction
160,Belong
161,As It Was
162,I'm Yours
163,Chi Mai
164,Say Something
165,Had It All
166,Take Me Back ft. Yonnyboii
167,Whole Again - Acoustic Version
168,Overpass Graffiti
169,Love Song
170,Let Her Go
171,Brighter Than Sunshine
172,Love Story
173,Mujer con Abanico
174,In the Shadows
175,Can You Feel the Love Tonight
176,The Story
177,Better
178,Iris
179,Rockabye - Acoustic Version
180,I Need You More Today
181,Beautiful Soul
182,Let's See What The Night Can Do
183,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]"
184,Forever And Always
185,Fine On The Outside
186,Tortured Soul
187,I Believe in You
188,At Home
189,"Portland, Maine"
190,Holding On and Letting Go
191,The Flood
192,Hanggang Kailan (Umuwi Ka Na Baby)
193,Out of My League
194,Say Something
195,Rise
196,World Spins Madly On
197,Stumble
198,Paradise
199,"Moonlight, Mistletoe & You"
200,ひまわりの約束
201,Since U Been Gone - Acoustic Version
202,"One more time,One more chance"
203,Creep
204,Higher Love
205,Hyouriittai
206,How Long Will I Love You
207,Binibini
208,You Were Supposed to Be Different
209,Thinking out Loud
210,Perfect / Style
211,Poison & Wine
212,Collide
213,You And I
214,Give Me Your Forever (ft. Billkin)
215,Falling in Love at a Coffee Shop
216,Breathe (2 AM)
217,Habang Buhay
218,Beautiful Soul
219,Bulletproof
220,Spectrum
221,Girls Like You - Acoustic Version
222,Nangangamba
223,Better Together
224,Heartbreak Anniversary
225,One More Time Around
226,Say Something
227,Heart Can’t Lose
228,I Ain't Ever Loved No One - Acoustic
229,Empty
230,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup"
231,The Reason
232,Fix You
233,Hand to Hold
234,Hold You in My Arms
235,One Last Dance
236,Heaven
237,The Spark - Bonus Track
238,American Beauty
239,Such A Simple Thing
240,Colors
241,Someone You Loved
242,More Than Friends (feat. Meghan Trainor)
243,Flurry Rush
244,I Choose You
245,I Do Adore
246,I'll Be Home For Christmas
247,Fuck You
248,Christmas Comes But Once A Year
249,Christmas Comes But Once A Year
250,If I Ain't Got You - Acoustic
251,Believe - Acoustic
252,Iris - Acoustic
253,Rain - Long Ver.
254,C'est si bon
255,Baby (Acoustic Version)
256,Reason
257,I Like Me Better
258,Asan Ka Na Ba
259,A Thousand Years
260,drivers license
261,Love Someone
262,The Winner Takes It All - Acoustic
263,Only Time
264,Almost Lover
265,Dance Monkey
266,Ocean
267,Dream a Little Dream of Me
268,Back For Good
269,OK
270,Just The Two Of Us
271,Hey There Delilah
272,Arcade
273,Yellow
274,Wake Me Up
275,Walking Blind
276,Headphones
277,Teenage Dream
278,The Worth Of The Wait
279,Can't Help Falling In Love - Piano Version
280,Never Come Back Again
281,Love You To Death
282,Someone You Loved - Acoustic
283,What a Wonderful World
284,You Broke Me First
285,Long Way Down
286,She Is Love
287,Marigold
288,12:51
289,サンサーラ
290,Sons and Daughters
291,Brand New
292,Gotta Have You
293,"30,000 Feet"
294,A Thousand Years
295,Jolene
296,No Ceiling
297,Front Porch
298,Goodbye Lulu
299,Three More Days
300,Isn't She Lovely - Acoustic
301,We Could Still Be Happy
302,Fix You - Acoustic
303,I'm Yours - Acoustic
304,Closer
305,A Sky Full of Stars
306,I Don't Believe in Satan
307,Pills
308,Shallow - Acoustic
309,Watermelon Sugar - Acoustic
310,Say You Won't Let Go - Acoustic
311,Hikare Inochi
312,Call You Mine (Acoustic Piano)
313,For Now
314,Sweet Dream
315,Love Nwantiti
316,Stars Are on Your Side
317,We Don't Talk Anymore / Cold (feat. Sara Phillips)
318,Superman
319,Chasing Cars
320,Calm Me Down
321,KISSして
322,Binibini (Last Day On Earth) (feat. James TW)
323,Left for America
324,Ramparts
325,Hold On - Acoustic
326,Dust to Dust
327,Good night
328,As You Are
329,Binibini
330,It Aint Me
331,Say Something
332,The Lotto
333,Tamacun
334,Make It Without You
335,Dream
336,"Big Love, Small Moments"
337,I Am Not Alone
338,Stand Your Ground
339,Perfect Man
340,あ。っという間はあるさ
341,Tell The World
342,Ain't No Reason
343,A Month from Now
344,What If
345,Pussy Cat
346,Polaroid Picture
347,I Bet On Flying High
348,I Bet On Flying High
349,I Bet On Flying High
350,Mirrors - Acoustic
351,To the Wonder (feat. Kina Grannis)
352,Stay - Acoustic
353,太陽さん
354,Oh What A Love
355,Leave The Lights On
356,I Won't Let You Down
357,Look For The Good (Single Version)
358,Stargazing
359,Bad Liar
360,Is It You
361,Slow Down Time
362,2002 - Acoustic
363,Sweeter
364,Heat Waves - Acoustic
365,アジアの純真
366,If the World Was Ending - Acoustic
367,Comes And Goes (In Waves)
368,ながれ星
369,Dusk Till Dawn - Acoustic
370,Don't Wanna Leave You
371,Passenger Seat
372,Love
373,Hallelujah
374,Ashes
375,明日の☆SHOW
376,Love Me Like You Do
377,Lost Sparks
378,Who We Are
379,Heart (Original Version)
380,It'll Be Alright
381,Everybody
382,Kabilugan Ng Buwan
383,Keep Breathing
384,Fast Car
385,Just the Way You Are
386,The Ladder
387,HELLO (Original Version)
388,接吻
389,Can't Keep It Inside
390,明日天気になれ
391,IT'S ONLY LOVE
392,それがすべてさ
393,I Don't Wanna Love Somebody Else
394,Burn It All!
395,Carried Me With You
396,"O, Pennsyltucky!"
397,"I Believed You, William Blake"
398,Pepperspray
399,Stickup
400,Heaven - Acoustic
401,Soldier's Eyes
402,Asleep Among Endives
403,Symphony - Acoustic
404,When I Was Your Man
405,Save Your Tears - Acoustic
406,Koi
407,July Bones
408,Autumn Breeze
409,Save Your Tears
410,You're Still The One - Acoustic
411,Somebody Loved
412,Rise
413,Bohemian Rhapsody - Acoustic
414,As It Was - Acoustic
415,Wish List
416,Beautiful Disaster
417,Fake a smile
418,Marigold
419,River Flows In You
420,Kill Me Pretty
421,No Matter Where You Are
422,I Like You
423,The Mess I Made
424,Dream a Little Dream of Me
425,"Here, Right Now"
426,Wonderful Tonight
427,Salvation
428,Wilderness
429,恋人 (Original Version)
430,I Just Called To Say I Love You
431,Fall on Me
432,Song To Sing When I'm Lonely
433,A Drop In the Ocean
434,Have Yourself a Merry Little Christmas
435,Message (Original Version)
436,Beautiful In White
437,Heaven Is a Place on Earth
438,Passenger Seat (Acoustic)
439,Guaranteed - Humming Version
440,"Hang Me, Oh Hang Me"
441,The Afterglow
442,Eat the Meek
443,The Trouble with Wanting
444,You Are the Best Thing
445,Boycott Me!
446,To Risk to Live
447,"The Legend of Olog-hai, Pt. 1"
448,No Christmas For Me
449,This One's for Johnny
450,Graveyard - Acoustic
451,bouquet
452,こころをこめて
453,Paradise
454,Better
455,Laid
456,Same For You
457,2U - Acoustic Version
458,Duet
459,I'll Say I Do
460,Anyone
461,Start of Time
462,Give Me Your Forever
463,Heat Waves
464,There She Goes
465,Wells
466,God Only Knows
467,Afterglow
468,Burn The Rain
469,Already Mine
470,きみはぼくのともだち
471,Never Be the Same
472,All Is Well
473,My Mistake
474,Near Or Far
475,Without a Light
476,Lonely With Me
477,Time After Time
478,So Are You To Me
479,My Arms Were Always Around You
480,Dance Me to the End of Love - Bonus
481,Photographs
482,Baby Now That I Found You
483,Right Here Waiting
484,Smokestack Lightnin'
485,Passenger Seat
486,Feels Like Rain (feat. Bonnie Raitt)
487,Sugar Babe
488,Blister In The Sun
489,"Little Blue Pills, Pt. 2"
490,Paano Ang Simbang Gabi - Kung 'Di Ka Katabi
491,Bob
492,Psycho
493,Perfect Government
494,The Fear
495,Living My Best Life
496,Haven't Been Doing So Well
497,"The Legend of Olog-hai, Pt. 2"
498,You and Me On The Rock (feat. Lucius)
499,Glitch
500,A Thousand Years - Acoustic
501,2 Oceans
502,Golden Hour - Acoustic Piano
503,Without Me
504,You & Me (The Wildfire)
505,Dancing With A Stranger
506,Pero
507,Good 4 U (Acoustic)
508,And Then You
509,Here With Me - Acoustic
510,I'll Be There For You (Friends Theme)
511,Habang Buhay
512,So Far so Good
513,More Than Gravity
514,Fade into You
515,東京にもあったんだ
516,あの夏も 海も 空も
517,21 Guns
518,Waves
519,Running Up That Hill (A Deal With God) - Acoustic
520,Poison's Gone
521,18 ~eighteen~
522,Build Me Up Buttercup
523,Umbrella - Acoustic Version
524,Home
525,You're My Home
526,vs.2013 ~知覚と快楽の螺旋~
527,I Like Me Better
528,The Remedy (I Won't Worry)
529,Something Stupid
530,Hanap-Hanap
531,The Will To Death
532,Boulevard of Broken Dreams (Acoustic)
533,Can't Help Falling In Love
534,Eloise
535,Help Me
536,Everytime We Touch (Acoustic)
537,Let It Be Me
538,Beer
539,Someone Like You
540,You've Got a Friend
541,This Little Light of Mine
542,Amazing Grace
543,Remnants of What People Used to Be
544,Linda Ronstadt
545,Unsteady - Acoustic Covers Versions of Popular Songs
546,Heart's Content
547,The Damned
548,Hot Knives
549,Nickel Plated
550,Peaches - Acoustic
551,You
552,Swimmers
553,Live Like We're Dying
554,Somebody That I Used To Know
555,Lost Without You
556,"One more time, One more chance"
557,you broke me first
558,Skylight
559,Game of Thrones
560,Nothing Like You and I
561,Wanted Man
562,Back To You
563,何度でも花が咲くように私を生きよう
564,Scared to Be Lonely
565,Sappy - Early Demo
566,Ancient Light
567,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version
568,Before You Go
569,Ships In The Night
570,Only You
571,Waver
572,Missing Peace
573,聖域
574,Firework
575,Such A Simple Thing - Recorded at Sound Stage Studios Nashville
576,"Sad Theme (From ""One Punch Man"")"
577,Don't Know What I Want
578,Call Me
579,True
580,I Can't Make You Love Me
581,Say Anything
582,All We Are
583,Gentle Heart
584,All My Loving (Original Version)
585,アンダルシアに憧れて
586,想 -new love new world-
587,Last Christmas
588,Green Mountain State
589,Di Papakawalan
590,Can't Go Back Now
591,ウイスキーが、お好きでしょ
592,Ditches
593,Outside Villanova
594,Timeline
595,I'll Never Fall in Love Again
596,Stray Cat Strut
597,Goodbye Lulu Pt.2
598,Days n Daze of Our Lives
599,8 Track
600,Ghost - Acoustic
601,4am
602,"10,000 Hours - Acoustic"
603,Yellow - Acoustic
604,No Air
605,Self Help
606,Blackbird Song
607,Easy On Me - Acoustic
608,Chasing Cars - Acoustic
609,Can't Take My Eyes Off of You
610,Fortune - Acoustic
611,Lot To Learn
612,Apologize
613,First & Last
614,"Cold, Cold Feeling"
615,Sweet Love
616,Shotgun
617,HEY!
618,Have It All
619,Trouble Sleeping
620,Beautiful Disaster
621,Breathe Again
622,Trouble
623,Memories
624,Sink Or Swim
625,Tama Na
626,"He's A Pirate (From ""Pirates of the Caribbean"")"
627,能古島の片想い - Remastered 2018
628,Bitter Heart
629,I Want to Know What Love Is - Acoustic
630,ハンキーパンキー
631,Ordinary Days
632,Moon River
633,Forever Like That
634,Neighbor
635,一等賞
636,音タイム
637,The Joke
638,Toulumne
639,Just The Two Of Us - Acoustic
640,Arrythmic Palpitations
641,The Boat
642,Born Under A Bad Sign - Mono Mix
643,Nobody Knows Me At All
644,Bitter Morning Taste
645,DBS Out
646,Crazy - (Acoustic Mix)
647,Dungeon Song
648,Can I Sleep On Your Floor??
649,Josephine
650,いきのこり●ぼくら
651,Careless Whisper
652,Look After You
653,Perfect
654,When the Party's Over
655,Longest Night
656,Photograph
657,Shame
658,Iris
659,Running Wild
660,彼方で
661,Hazy (Featuring William Fitzsimmons)
662,Let It Go
663,I Wanna Be Your Ghost (feat. Ghosts)
664,約束の丘
665,Young And In Love
666,No Plans
667,Easy on Me
668,Tonight You Belong To Me
669,Closer
670,One Last Breath
671,Devil's Backbone
672,Waltzing Matilda
673,Girls Chase Boys
674,The Woman I Love
675,The Love Me or Die
676,美しき花
677,Isn't She Lovely
678,世界中の誰よりきっと
679,Black Horse And The Cherry Tree
680,Drunks
681,Coming Home
682,I'm Tore Down
683,Neighbor (Piano Version)
684,I Will Always Be Yours
685,Nine on the Bortle
686,Redemption
687,Other Side Of The World
688,Setting Forth
689,Eulogy
690,Tarnished Ol' Photograph
691,Rocksteady
692,Come on In
693,Laugh While You Can
694,Untainted Love
695,Whiny Bitch
696,I Wanna See It Burn
697,I'll Be Home for Christmas
698,I'll Be Home for Christmas
699,It's Amazing
700,How Far Does the Dark Go?
701,THATS WHAT I WANT (Acoustic)
702,Dynamite - Acoustic
703,Never Stop (Wedding Version)
704,You're Mine (The Chase)
705,パラレル・ラブ
706,Let Her Go
707,So Are We
708,Shallow
709,Hold Each Other (feat. Futuristic)
710,別れの予感
711,I Was Born To Love You
712,Naked Heart
713,Days I Will Remember
714,Smell the Coffee
715,Unlonely
716,See You Again
717,ゆめのなか
718,More Than You Know - Acoustic Covers of Popular Songs
719,Nothing Really Matters
720,Don't Wanna Know - Acoustic Version
721,Sweetest Thing
722,A Safe Place to Land (feat. John Legend)
723,Your Song
724,Billie Jean
725,Cadillac Assembly Line
726,Pirates of the Caribbean Theme
727,全て身に覚えのある痛みだろう?
728,Life Is A Bitch
729,オールドルーキー (再録)
730,You and I Both
731,The Past Recedes
732,Laro Laro Laro
733,Stones
734,Need You
735,When It's Gone
736,Heaven Sent
737,Too Much Heaven
738,Face the Void
739,V: Fair Trade Death March
740,Fate of a Coward
741,Don't Start Me To Talkin'
742,Angel of Death
743,Bitter Old Man - Live
744,You're a Witch
745,Non Serviam
746,The Gathering
747,7 Years
748,Comfort epershand Control
749,Demons
750,愛を伝えたいだとか
751,FUSHIGI
752,Bad News Is Coming
753,I Mean Love
754,Night Bus
755,Dark Matter
756,Doraemon
757,Landslide
758,I'd Rather Be With You [Radio Edit]
759,Leave The Door Open - Acoustic
760,Careful
761,Use Somebody - Acoustic
762,She Only Lies
763,What About Us - Acoustic
764,Hound Dog
765,Turn To Stone
766,Drawn by the Wind (Arr. for Guitar)
767,Don't Shy From The Light
768,Memories (Acoustic)
769,She’s The Song
770,When You Fall in Love
771,I Won’t Give Up
772,Suitcase
773,Stitches
774,I 'll Play the Blues for You
775,PRIDE
776,The Power of Love
777,Arms Of A Woman
778,Seeing Other People
779,King of Anything
780,Lost Cause - Acoustic Covers Versions of Popular Songs
781,The Weakness in Me
782,Honey
783,I Like to Be With Me When I'm With You
784,No More - Live
785,On & On
786,A Million Years
787,End Of The Road
788,"It Really Sucked, Actually"
789,The Work
790,Trenchfoot
791,Unicron
792,Issues
793,Darkest Heart
794,Letter Home
795,Control
796,Fall Out
797,The Gathering
798,This Time Tomorrow
799,Roll Me Through the Gates of Hell - Acoustic Version
800,SUN
801,Sweet but Psycho - Acoustic
802,I'm the One - Acoustic
803,Magic
804,Lost
805,黄金の月
806,It Would Be You
807,As It Was - Acoustic Instrumental
808,Sweet Child O' Mine - Acoustic
809,Beyond The Sea
810,Have I Told You Lately That I Love You - Acoustic
811,Pilots
812,さくら - 二〇一九
813,Homeland
814,The Hardest Thing
815,Supermarket Flowers
816,陽はまた昇る
817,Swans
818,The Greatest Showman - Rewrite The Stars (Acoustic)
819,Perfect
820,A Million Dreams - Acoustic
821,3636
822,君はロックを聴かない
823,Tears In Heaven
824,Paperweight by Joshua Radin and Schuyler Fisk
825,Meant to Be
826,Paasa
827,No Matter Where You Are - Wedding Version
828,大安
829,Now We're Starting Over Again
830,In the Morning
831,My Babe
832,What a Time to Be Alive
833,The Longer I Run
834,You're Not Sorry - Acoustic Covers Versions of Popular Songs
835,"Don't Think Twice, It's All Right - Acoustic"
836,Is There Something
837,Living in the Moment
838,Other Side Of The World
839,Torches Are Calling
840,Close to You
841,Far Behind
842,Protest Songs
843,White Worms
844,Miranda
845,Linoleum
846,God Gave Me You
847,Perfectly Dysfunctional
848,Internet Song
849,Welcome to Hell
850,Pop Virus
851,All Too Well - Jake's Version
852,Dilemma
853,Miss You
854,Kiss Me
855,Teenage Dream
856,White
857,All Falls Down
858,This Is Love
859,Still Falling For You - Acoustic
860,I Will Wait
861,Always Be My Baby
862,Jocelyn Flores - Acoustic Guitar
863,Use Somebody - Acoustic Version
864,As Long as You Love Me
865,Can't Go Back
866,The Nights - Acoustic
867,月ひとしずく
868,Party of One (feat. Sam Smith)
869,恋の魔力
870,Take Me Home
871,ドサ回り数え歌
872,純風
873,Fix You
874,Truth
875,Jericho
876,The Weakness In Me
877,Invincible
878,Yellow Lines
879,What a Wonderful World
880,No More
881,Spoonful
882,Over
883,Body Terror Song
884,VI: Don't Let Love Bog You Down
885,What Are You Doing New Years Eve
886,SOS - Acoustic Covers Versions
887,The Power of Love
888,Mosquitoes
889,High 5
890,Don't Wanna Be Without Ya
891,Of Ballots and Barricades - Live
892,Dirty Little Rag
893,Day Old Coffee
894,Clawfoot
895,Peach
896,Alone in the Dark Mansion of Madness
897,Skin Deep (feat. Derek Trucks)
898,We Shall Not Overcome
899,Northbound
900,Sombody else - Acoustic
901,Stuck with U - Acoustic
902,Havana - Acoustic
903,Yakap
904,Sunflower
905,Hollywood's Bleeding
906,Without You
907,Between the Stars
908,To Whom It May Concern
909,Issues - Acoustic
910,花になる
911,Unconditional
912,Moth To A Flame - Acoustic Instrumental
913,Bleeding Love
914,Light
915,A Thousand Miles
916,Darkness Within
917,Ikaw Lamang
918,Over You
919,Stay Right Where You Are
920,(I Just) Died In Your Arms - Acoustic
921,Walking By Myself
922,KISSして
923,Nintendo
924,Diamonds
925,We'll Make It Through
926,Untainted Innocence
927,Afterglow - Stephan Baulig Remix
928,To the Wind
929,What Love Really Means
930,PEOPLE GET READY
931,Lovin' Whiskey
932,Already Home
933,Big Time
934,Canada
935,Meet Me in the Shade
936,I Am So Mad at You
937,Wind in Your Sails
938,Deathlessness
939,"Little Blue Pills, Pt..3"
940,Drag Me Down
941,None Exempt
942,Going To Germany
943,Rivers
944,When I Was Your Man
945,"Fry, Bacon, Fry (Die Pigs!)"
946,"Dance, Motherfucker, Dance!"
947,In the Midnight Hour (feat. J.J. Grey)
948,Seven Nation Army - Acoustic Covers Versions of Popular Songs
949,She's a Problem
950,Mood - Acoustic
951,Long Drive
952,Issues
953,Pink Sky Moon
954,Hold On
955,We Don't Talk Anymore
956,Beautiful Girls
957,Something Beautiful
958,Right Here Waiting
959,Cortes de Aragón
960,Whenever You're Around
961,The One That Got Away
962,With or Without You
963,深夜高速
964,She's The Song - Acoustic
965,生きてることが辛いなら
966,My Heart
967,アクセス
968,Life's What You Make It
969,Memories (Instrumental Guitar)
970,Duet (feat. Stephanie Briggs)
971,追憶の雨の中 (Original Version)
972,Shallow
973,I Want It That Way - Acoustic Covers of Popular Songs
974,明日へゆけ
975,青空、ひとりきり - Remastered 2018
976,Someday
977,All The World (I Tell Myself)
978,Cried Like A Baby
979,Good Feeling
980,踊る人たち
981,Si Te Vas
982,So Help Me God
983,To-Do Lists (Color Coded)
984,神無月にかこまれて - Remastered 2018
985,7 Years
986,Make It Easy On Yourself
987,Hollow Man
988,Waves of Panic
989,Miranda
990,"Of Peace, Quiet And Monsters"
991,Little Life
992,Black Girls
993,Kick Your Lawyer in the Face
994,Fast Track
995,Maria
996,"Corinna - From ""The Natch'l Blues"""
997,Tall Cans
998,You Get What You Give
999,Four Simple Words
1000,Jireh (My Provider)
1001,Ainda Há Tempo
1002,Fellini
1003,Lion Man
1004,Espiral de Ilusão
1005,Yemanjá Chegou
1006,Tô Pra Ver
1007,Terapia
1008,Aló
1009,Vasilhame
1010,Sucrilhos
1011,Chuva Ácida
1012,Breaco
1013,Reza Forte
1014,É o Teste
1015,Pequenina
1016,Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music
1017,Até Me Emocionei
1018,Vida Loka I - Live
1019,Demorô
1020,Guerra Batalha
1021,Duas Cidades
1022,Mariô
1023,Só Mais Uma Noite - Live
1024,Pretos Ganhando Dinheiro Incomoda Demais
1025,Samba Sambei
1026,La Makinita
1027,Me Corte na Boca do Céu a Morte Não Pede Perdão
1028,Menino Mimado
1029,Aprendendo a Sobreviver
1030,Tengo Luquita
1031,Primavera (Vai Chuva)
1032,A Cada Vento - Live
1033,Detergente
1034,Nas Águas
1035,Plano de Voo
1036,Chiquitita
1037,Freguês da Meia Noite
1038,Hora da Decisão
1039,"Jah Jah Revolta, Pt. 2"
1040,Dia da Caça
1041,Fio de Pumo (Padê Onã)
1042,Pegue Pra Ela
1043,Filha do Maneco
1044,Cria de Favela
1045,Boca Fofa
1046,Calçada
1047,Zica Vai Lá - Live
1048,Subirusdoistiozin - Live
1049,Darker Shade of Black
1050,Meghar Jolonga
1051,Queens Highway
1052,Etérea
1053,Cabeça de Papel
1054,Invisível
1055,"Lambada de Oceanía, África y América"
1056,Fogo (Versão Estendida)
1057,Nauliza
1058,Mediterráneo
1059,Me Dê Motivo
1060,Sonar (Adubado)
1061,Forasteiro
1062,Oxidados
1063,À Beça
1064,Sueño Erótico
1065,"Negro Amor (It's All Over Now, Baby Clue)"
1066,Povo Guerreiro
1067,Navio
1068,No Sapatinho
1069,São Jorge
1070,O Segundo Sol
1071,Amar Es Algo Más
1072,Redoma
1073,Viva (Melô Dos Vileiros) - Live
1074,Samba Sambei (Dub Mix)
1075,CertoPeloCertoh
1076,Fat City Strut
1077,"Fé Cega, Faca Amolada"
1078,La Bala
1079,Chocolate
1080,Mariô - Live
1081,Demorô - Live
1082,Panela
1083,Reza Forte
1084,Human Disco Ball
1085,Bala na Agulha
1086,La Jardinera
1087,Makoti
1088,Nontsokolo
1089,Soul Makossa
1090,Triunfo - Live
1091,Grajauex - Live
1092,District Six - Live
1093,Não Existe Amor Em SP - Live
1094,Women Of The Sun
1095,Bogotá - Live
1096,Black Organ
1097,Dikalo - Remix 97
1098,District Six - Live
1099,Stop That Train
1100,Atrévete-Te-Te
1101,Shimmy Shimmy Ya
1102,Ruby
1103,4 da Manhã – Deluxe Edition
1104,Água (Versão Estendida)
1105,Organdí
1106,Sólo los dos (feat. Ferraz)
1107,Tô pra Onda
1108,Eres Mis Ganas
1109,Bienvenidos A Mi Mundo
1110,Tá Amarrado
1111,Agente Russo
1112,Alfazema
1113,Crece
1114,Alegria por un Zumo de Naranja Con Panela
1115,Cóccix-ência
1116,Dulce
1117,Ride On Baby - 1977 Version
1118,La nieve en la bola de nieve
1119,Raminho
1120,"Oxe, Como Era Doce"
1121,Uno
1122,Ode To Mauricio Garces
1123,Aquiles por su talón es Aquiles
1124,Madurar
1125,Te Lo Juro Por Madonna (Si Omba Ta Gueno)
1126,A Vida É Curta Pra Viver Depois
1127,Bungaloo Punta Cometa
1128,Dança de Airumã
1129,"Barravenida, Pt. 2"
1130,Desengano da Vista
1131,Flores Raras
1132,Mercado
1133,Obá Iná
1134,Río abajo
1135,Niño Bomba
1136,Makoti
1137,District Six - Live
1138,Calamatraca
1139,O Guarani
1140,Ikeja Roads
1141,La infidelidad de la era informática
1142,Bambezela
1143,Chapéu Panamá
1144,Makoti
1145,Lion Man - Live
1146,District Six - Live
1147,Sex Appeal
1148,Corazón Tatú
1149,District Six - Live
1150,Thank You Lord
1151,Ai Du (with Ry Cooder)
1152,Bang Data
1153,La Educación
1154,gorila
1155,Shampoo
1156,Canción Ecológica
1157,Disco Ball
1158,There's Music In The Air
1159,Go Back
1160,Contigo
1161,Cumbia Elemental
1162,Acosadora - Radio Edit
1163,JAJAJA
1164,Enzo
1165,Fuiste un Trozo de Hielo en la Escarcha
1166,Sea - Cara B
1167,Chaltumay
1168,Caminante
1169,Como Ayer
1170,Barravenida
1171,Corneteiro Luís
1172,De amor y de casualidad
1173,Mango Meat
1174,Língua Felina – Deluxe Edition
1175,Como te Gusta (feat. C-Funk & McKlopedia)
1176,Si Tú Te Vas
1177,Nada menos
1178,La Mara Tomaza
1179,Tubarão
1180,Oxe
1181,Tamborero
1182,Espérame (Extended Mix)
1183,Amerikha Expressa
1184,Jah Jah Revolta
1185,King Cobra
1186,Nesse Mundo
1187,Pachamama
1188,Cais
1189,Fancy (feat. Spellbinder)
1190,Tema Di Malaika
1191,O Carnaval Quem É Que Faz?
1192,Rádio África
1193,Princesa bacana
1194,Wall Street
1195,Human Disco Ball
1196,Cachete a Cachete
1197,Coroné Antonio Bento
1198,Corneteiro Luís
1199,Aquellos tiempos
1200,C.R.E.A.M.
1201,Grateful
1202,Shout to the Lord
1203,Desire
1204,Tezeta (Nostalgia)
1205,The Vibe
1206,O Caçador e a Flecha
1207,LadoB
1208,YOU
1209,BembaDub
1210,Dilúvio de Solidão
