index,track_name,labels
362,2002 - Acoustic,2
363,Sweeter,0
364,Heat Waves - Acoustic,1
365,アジアの純真,0
366,If the World Was Ending - Acoustic,2
367,Comes And Goes (In Waves),0
368,ながれ星,2
369,Dusk Till Dawn - Acoustic,2
370,Don't Wanna Leave You,0
371,Passenger Seat,0
372,Love,0
373,Hallelujah,2
374,Ashes,2
375,明日の☆SHOW,0
376,Love Me Like You Do,2
377,Lost Sparks,2
378,Who We Are,0
379,Heart (Original Version),0
380,It'll Be Alright,2
381,Everybody,0
382,Kabilugan Ng Buwan,2
383,Keep Breathing,2
384,Fast Car,2
385,Just the Way You Are,2
386,The Ladder,0
387,HELLO (Original Version),1
388,接吻,0
389,Can't Keep It Inside,2
390,明日天気になれ,0
391,IT'S ONLY LOVE,0
392,それがすべてさ,0
393,I Don't Wanna Love Somebody Else,2
394,Burn It All!,2
395,Carried Me With You,0
396,"O, Pennsyltucky!",0
397,"I Believed You, William Blake",1
398,Pepperspray,0
399,Stickup,0
400,Heaven - Acoustic,2
401,Soldier's Eyes,2
402,Asleep Among Endives,2
403,Symphony - Acoustic,2
404,When I Was Your Man,2
405,Save Your Tears - Acoustic,2
406,Koi,0
407,July Bones,2
408,Autumn Breeze,2
409,Save Your Tears,1
410,You're Still The One - Acoustic,2
411,Somebody Loved,2
412,Rise,2
413,Bohemian Rhapsody - Acoustic,2
414,As It Was - Acoustic,2
415,Wish List,2
416,Beautiful Disaster,2
417,Fake a smile,2
418,Marigold,0
419,River Flows In You,2
420,Kill Me Pretty,0
421,No Matter Where You Are,0
422,I Like You,0
423,The Mess I Made,0
424,Dream a Little Dream of Me,2
425,"Here, Right Now",2
426,Wonderful Tonight,2
427,Salvation,2
428,Wilderness,2
429,恋人 (Original Version),0
430,I Just Called To Say I Love You,2
431,Fall on Me,2
432,Song To Sing When I'm Lonely,0
433,A Drop In the Ocean,2
434,Have Yourself a Merry Little Christmas,2
435,Message (Original Version),0
436,Beautiful In White,2
437,Heaven Is a Place on Earth,2
438,Passenger Seat (Acoustic),0
439,Guaranteed - Humming Version,2
440,"Hang Me, Oh Hang Me",2
441,The Afterglow,1
442,Eat the Meek,0
443,The Trouble with Wanting,2
444,You Are the Best Thing,0
445,Boycott Me!,0
446,To Risk to Live,0
447,"The Legend of Olog-hai, Pt. 1",1
448,No Christmas For Me,2
449,This One's for Johnny,0
450,Graveyard - Acoustic,2
451,bouquet,2
452,こころをこめて,2
453,Paradise,2
454,Better,2
455,Laid,0
456,Same For You,1
457,2U - Acoustic Version,2
458,Duet,2
459,I'll Say I Do,2
460,Anyone,2
461,Start of Time,1
462,Give Me Your Forever,0
463,Heat Waves,2
464,There She Goes,2
465,Wells,2
466,God Only Knows,2
467,Afterglow,2
468,Burn The Rain,2
469,Already Mine,2
470,きみはぼくのともだち,2
471,Never Be the Same,0
472,All Is Well,2
473,My Mistake,2
474,Near Or Far,2
475,Without a Light,2
476,Lonely With Me,0
477,Time After Time,2
478,So Are You To Me,2
479,My Arms Were Always Around You,2
480,Dance Me to the End of Love - Bonus,2
481,Photographs,2
482,Baby Now That I Found You,0
483,Right Here Waiting,0
484,Smokestack Lightnin',2
485,Passenger Seat,0
486,Feels Like Rain (feat. Bonnie Raitt),2
487,Sugar Babe,2
488,Blister In The Sun,0
489,"Little Blue Pills, Pt. 2",1
490,Paano Ang Simbang Gabi - Kung 'Di Ka Katabi,0
491,Bob,0
492,Psycho,1
493,Perfect Government,0
494,The Fear,0
495,Living My Best Life,0
496,Haven't Been Doing So Well,0
497,"The Legend of Olog-hai, Pt. 2",1
498,You and Me On The Rock (feat. Lucius),0
499,Glitch,0
500,A Thousand Years - Acoustic,2
501,2 Oceans,0
502,Golden Hour - Acoustic Piano,2
503,Without Me,2
504,You & Me (The Wildfire),2
505,Dancing With A Stranger,2
506,Pero,2
507,Good 4 U (Acoustic),2
508,And Then You,2
509,Here With Me - Acoustic,2
510,I'll Be There For You (Friends Theme),2
511,Habang Buhay,0
512,So Far so Good,0
513,More Than Gravity,2
514,Fade into You,0
515,東京にもあったんだ,0
516,あの夏も 海も 空も,0
517,21 Guns,2
518,Waves,2
519,Running Up That Hill (A Deal With God) - Acoustic,2
520,Poison's Gone,2
521,18 ~eighteen~,0
522,Build Me Up Buttercup,2
523,Umbrella - Acoustic Version,2
524,Home,2
525,You're My Home,0
526,vs.2013 ~知覚と快楽の螺旋~,0
527,I Like Me Better,2
528,The Remedy (I Won't Worry),0
529,Something Stupid,2
530,Hanap-Hanap,2
531,The Will To Death,2
532,Boulevard of Broken Dreams (Acoustic),2
533,Can't Help Falling In Love,2
534,Eloise,1
535,Help Me,1
536,Everytime We Touch (Acoustic),2
537,Let It Be Me,2
538,Beer,0
539,Someone Like You,2
540,You've Got a Friend,0
541,This Little Light of Mine,2
542,Amazing Grace,0
543,Remnants of What People Used to Be,0
544,Linda Ronstadt,0
545,Unsteady - Acoustic Covers Versions of Popular Songs,0
546,Heart's Content,2
547,The Damned,1
548,Hot Knives,2
549,Nickel Plated,0
550,Peaches - Acoustic,2
551,You,2
552,Swimmers,1
553,Live Like We're Dying,0
554,Somebody That I Used To Know,2
555,Lost Without You,0
556,"One more time, One more chance",1
557,you broke me first,2
558,Skylight,0
559,Game of Thrones,2
560,Nothing Like You and I,0
561,Wanted Man,0
562,Back To You,2
563,何度でも花が咲くように私を生きよう,2
564,Scared to Be Lonely,2
565,Sappy - Early Demo,2
566,Ancient Light,2
567,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,2
568,Before You Go,2
569,Ships In The Night,0
570,Only You,2
571,Waver,0
572,Missing Peace,2
573,聖域,1
574,Firework,2
575,Such A Simple Thing - Recorded at Sound Stage Studios Nashville,2
576,"Sad Theme (From ""One Punch Man"")",2
577,Don't Know What I Want,2
578,Call Me,0
579,True,0
580,I Can't Make You Love Me,2
581,Say Anything,0
582,All We Are,2
583,Gentle Heart,0
584,All My Loving (Original Version),0
585,アンダルシアに憧れて,1
586,想 -new love new world-,0
587,Last Christmas,2
588,Green Mountain State,0
589,Di Papakawalan,2
590,Can't Go Back Now,0
591,ウイスキーが、お好きでしょ,2
592,Ditches,0
593,Outside Villanova,0
594,Timeline,0
595,I'll Never Fall in Love Again,2
596,Stray Cat Strut,1
597,Goodbye Lulu Pt.2,0
598,Days n Daze of Our Lives,0
599,8 Track,0
600,Ghost - Acoustic,2
601,4am,2
602,"10,000 Hours - Acoustic",0
603,Yellow - Acoustic,2
604,No Air,2
605,Self Help,0
606,Blackbird Song,2
607,Easy On Me - Acoustic,2
608,Chasing Cars - Acoustic,2
609,Can't Take My Eyes Off of You,1
610,Fortune - Acoustic,2
611,Lot To Learn,0
612,Apologize,2
613,First & Last,2
614,"Cold, Cold Feeling",1
615,Sweet Love,0
616,Shotgun,0
617,HEY!,0
618,Have It All,1
619,Trouble Sleeping,1
620,Beautiful Disaster,0
621,Breathe Again,0
622,Trouble,2
623,Memories,2
624,Sink Or Swim,0
625,Tama Na,0
626,"He's A Pirate (From ""Pirates of the Caribbean"")",2
627,能古島の片想い - Remastered 2018,0
628,Bitter Heart,2
629,I Want to Know What Love Is - Acoustic,2
630,ハンキーパンキー,2
631,Ordinary Days,2
632,Moon River,2
633,Forever Like That,2
634,Neighbor,2
635,一等賞,0
636,音タイム,0
637,The Joke,0
638,Toulumne,2
639,Just The Two Of Us - Acoustic,2
640,Arrythmic Palpitations,1
641,The Boat,1
642,Born Under A Bad Sign - Mono Mix,0
643,Nobody Knows Me At All,2
644,Bitter Morning Taste,0
645,DBS Out,0
646,Crazy - (Acoustic Mix),2
647,Dungeon Song,0
648,Can I Sleep On Your Floor??,0
649,Josephine,0
650,いきのこり●ぼくら,2
651,Careless Whisper,1
652,Look After You,2
653,Perfect,2
654,When the Party's Over,2
655,Longest Night,0
656,Photograph,2
657,Shame,2
658,Iris,2
659,Running Wild,0
660,彼方で,0
661,Hazy (Featuring William Fitzsimmons),2
662,Let It Go,2
663,I Wanna Be Your Ghost (feat. Ghosts),1
664,約束の丘,0
665,Young And In Love,0
666,No Plans,0
667,Easy on Me,0
668,Tonight You Belong To Me,2
669,Closer,2
670,One Last Breath,2
671,Devil's Backbone,2
672,Waltzing Matilda,2
673,Girls Chase Boys,0
674,The Woman I Love,0
675,The Love Me or Die,1
676,美しき花,0
677,Isn't She Lovely,0
678,世界中の誰よりきっと,0
679,Black Horse And The Cherry Tree,1
680,Drunks,0
681,Coming Home,0
682,I'm Tore Down,0
683,Neighbor (Piano Version),2
684,I Will Always Be Yours,0
685,Nine on the Bortle,1
686,Redemption,0
687,Other Side Of The World,0
688,Setting Forth,0
689,Eulogy,2
690,Tarnished Ol' Photograph,2
691,Rocksteady,1
692,Come on In,0
693,Laugh While You Can,0
694,Untainted Love,0
695,Whiny Bitch,0
696,I Wanna See It Burn,0
697,I'll Be Home for Christmas,0
698,I'll Be Home for Christmas,0
699,It's Amazing,0
700,How Far Does the Dark Go?,1
701,THATS WHAT I WANT (Acoustic),2
702,Dynamite - Acoustic,0
703,Never Stop (Wedding Version),0
704,You're Mine (The Chase),1
705,パラレル・ラブ,0
706,Let Her Go,2
707,So Are We,2
708,Shallow,2
709,Hold Each Other (feat. Futuristic),0
710,別れの予感,0
711,I Was Born To Love You,2
712,Naked Heart,0
713,Days I Will Remember,0
714,Smell the Coffee,2
715,Unlonely,1
716,See You Again,0
717,ゆめのなか,0
718,More Than You Know - Acoustic Covers of Popular Songs,0
719,Nothing Really Matters,0
720,Don't Wanna Know - Acoustic Version,0
721,Sweetest Thing,2
722,A Safe Place to Land (feat. John Legend),2
723,Your Song,0
724,Billie Jean,2
725,Cadillac Assembly Line,2
726,Pirates of the Caribbean Theme,2
727,全て身に覚えのある痛みだろう?,0
728,Life Is A Bitch,1
729,オールドルーキー (再録),0
730,You and I Both,0
731,The Past Recedes,2
732,Laro Laro Laro,2
733,Stones,0
734,Need You,0
735,When It's Gone,0
736,Heaven Sent,2
737,Too Much Heaven,2
738,Face the Void,0
739,V: Fair Trade Death March,0
740,Fate of a Coward,1
741,Don't Start Me To Talkin',0
742,Angel of Death,0
743,Bitter Old Man - Live,0
744,You're a Witch,1
745,Non Serviam,1
746,The Gathering,0
747,7 Years,2
748,Comfort epershand Control,1
749,Demons,0
750,愛を伝えたいだとか,0
751,FUSHIGI,0
752,Bad News Is Coming,1
753,I Mean Love,0
754,Night Bus,1
755,Dark Matter,1
756,Doraemon,0
757,Landslide,2
758,I'd Rather Be With You [Radio Edit],0
759,Leave The Door Open - Acoustic,2
760,Careful,0
761,Use Somebody - Acoustic,2
762,She Only Lies,2
763,What About Us - Acoustic,2
764,Hound Dog,0
765,Turn To Stone,2
766,Drawn by the Wind (Arr. for Guitar),2
767,Don't Shy From The Light,2
768,Memories (Acoustic),2
769,She’s The Song,0
770,When You Fall in Love,2
771,I Won’t Give Up,2
772,Suitcase,2
773,Stitches,0
774,I 'll Play the Blues for You,2
775,PRIDE,2
776,The Power of Love,2
777,Arms Of A Woman,2
778,Seeing Other People,2
779,King of Anything,0
780,Lost Cause - Acoustic Covers Versions of Popular Songs,2
781,The Weakness in Me,0
782,Honey,0
783,I Like to Be With Me When I'm With You,2
784,No More - Live,2
785,On & On,0
786,A Million Years,0
787,End Of The Road,2
788,"It Really Sucked, Actually",0
789,The Work,0
790,Trenchfoot,0
791,Unicron,0
792,Issues,0
793,Darkest Heart,0
794,Letter Home,0
795,Control,2
796,Fall Out,0
797,The Gathering,0
798,This Time Tomorrow,2
799,Roll Me Through the Gates of Hell - Acoustic Version,0
800,SUN,0
801,Sweet but Psycho - Acoustic,2
802,I'm the One - Acoustic,0
803,Magic,0
804,Lost,2
805,黄金の月,1
806,It Would Be You,0
807,As It Was - Acoustic Instrumental,2
808,Sweet Child O' Mine - Acoustic,2
809,Beyond The Sea,2
810,Have I Told You Lately That I Love You - Acoustic,2
811,Pilots,0
812,さくら - 二〇一九,2
813,Homeland,0
814,The Hardest Thing,0
815,Supermarket Flowers,2
816,陽はまた昇る,1
817,Swans,2
818,The Greatest Showman - Rewrite The Stars (Acoustic),2
819,Perfect,2
820,A Million Dreams - Acoustic,2
821,3636,0
822,君はロックを聴かない,0
823,Tears In Heaven,2
824,Paperweight by Joshua Radin and Schuyler Fisk,2
825,Meant to Be,2
826,Paasa,2
827,No Matter Where You Are - Wedding Version,2
828,大安,0
829,Now We're Starting Over Again,2
830,In the Morning,2
831,My Babe,0
832,What a Time to Be Alive,0
833,The Longer I Run,0
834,You're Not Sorry - Acoustic Covers Versions of Popular Songs,2
835,"Don't Think Twice, It's All Right - Acoustic",2
836,Is There Something,2
837,Living in the Moment,0
838,Other Side Of The World,0
839,Torches Are Calling,0
840,Close to You,0
841,Far Behind,0
842,Protest Songs,0
843,White Worms,0
844,Miranda,0
845,Linoleum,0
846,God Gave Me You,0
847,Perfectly Dysfunctional,1
848,Internet Song,0
849,Welcome to Hell,1
850,Pop Virus,0
851,All Too Well - Jake's Version,0
852,Dilemma,2
853,Miss You,0
854,Kiss Me,2
855,Teenage Dream,2
856,White,0
857,All Falls Down,2
858,This Is Love,0
859,Still Falling For You - Acoustic,2
860,I Will Wait,2
861,Always Be My Baby,2
862,Jocelyn Flores - Acoustic Guitar,2
863,Use Somebody - Acoustic Version,2
864,As Long as You Love Me,2
865,Can't Go Back,2
866,The Nights - Acoustic,0
867,月ひとしずく,0
868,Party of One (feat. Sam Smith),2
869,恋の魔力,0
870,Take Me Home,2
871,ドサ回り数え歌,2
872,純風,0
873,Fix You,0
874,Truth,0
875,Jericho,0
876,The Weakness In Me,0
877,Invincible,0
878,Yellow Lines,0
879,What a Wonderful World,2
880,No More,0
881,Spoonful,0
882,Over,0
883,Body Terror Song,2
884,VI: Don't Let Love Bog You Down,0
885,What Are You Doing New Years Eve,2
886,SOS - Acoustic Covers Versions,2
887,The Power of Love,2
888,Mosquitoes,0
889,High 5,0
890,Don't Wanna Be Without Ya,0
891,Of Ballots and Barricades - Live,0
892,Dirty Little Rag,1
893,Day Old Coffee,0
894,Clawfoot,0
895,Peach,0
896,Alone in the Dark Mansion of Madness,1
897,Skin Deep (feat. Derek Trucks),0
898,We Shall Not Overcome,0
899,Northbound,0
900,Sombody else - Acoustic,0
901,Stuck with U - Acoustic,2
902,Havana - Acoustic,1
903,Yakap,0
904,Sunflower,2
905,Hollywood's Bleeding,2
906,Without You,2
907,Between the Stars,2
908,To Whom It May Concern,2
909,Issues - Acoustic,2
910,花になる,0
911,Unconditional,2
912,Moth To A Flame - Acoustic Instrumental,2
913,Bleeding Love,2
914,Light,2
915,A Thousand Miles,0
916,Darkness Within,1
917,Ikaw Lamang,2
918,Over You,2
919,Stay Right Where You Are,2
920,(I Just) Died In Your Arms - Acoustic,2
921,Walking By Myself,1
922,KISSして,0
923,Nintendo,0
924,Diamonds,0
925,We'll Make It Through,2
926,Untainted Innocence,2
927,Afterglow - Stephan Baulig Remix,0
928,To the Wind,0
929,What Love Really Means,0
930,PEOPLE GET READY,2
931,Lovin' Whiskey,2
932,Already Home,0
933,Big Time,0
934,Canada,2
935,Meet Me in the Shade,0
936,I Am So Mad at You,0
937,Wind in Your Sails,0
938,Deathlessness,0
939,"Little Blue Pills, Pt..3",0
940,Drag Me Down,0
941,None Exempt,1
942,Going To Germany,2
943,Rivers,0
944,When I Was Your Man,2
945,"Fry, Bacon, Fry (Die Pigs!)",2
946,"Dance, Motherfucker, Dance!",0
947,In the Midnight Hour (feat. J.J. Grey),0
948,Seven Nation Army - Acoustic Covers Versions of Popular Songs,2
949,She's a Problem,0
950,Mood - Acoustic,0
951,Long Drive,0
952,Issues,2
953,Pink Sky Moon,2
954,Hold On,0
955,We Don't Talk Anymore,2
956,Beautiful Girls,2
957,Something Beautiful,0
958,Right Here Waiting,2
959,Cortes de Aragón,2
960,Whenever You're Around,0
961,The One That Got Away,0
962,With or Without You,2
963,深夜高速,0
964,She's The Song - Acoustic,2
965,生きてることが辛いなら,2
966,My Heart,0
967,アクセス,2
968,Life's What You Make It,0
969,Memories (Instrumental Guitar),2
970,Duet (feat. Stephanie Briggs),2
971,追憶の雨の中 (Original Version),0
972,Shallow,2
973,I Want It That Way - Acoustic Covers of Popular Songs,1
974,明日へゆけ,2
975,青空、ひとりきり - Remastered 2018,1
976,Someday,0
977,All The World (I Tell Myself),2
978,Cried Like A Baby,1
979,Good Feeling,2
980,踊る人たち,2
981,Si Te Vas,2
982,So Help Me God,0
983,To-Do Lists (Color Coded),0
984,神無月にかこまれて - Remastered 2018,1
985,7 Years,2
986,Make It Easy On Yourself,2
987,Hollow Man,0
988,Waves of Panic,1
989,Miranda,0
990,"Of Peace, Quiet And Monsters",2
991,Little Life,0
992,Black Girls,1
993,Kick Your Lawyer in the Face,0
994,Fast Track,0
995,Maria,0
996,"Corinna - From ""The Natch'l Blues""",2
997,Tall Cans,0
998,You Get What You Give,0
999,Four Simple Words,0
1000,Jireh (My Provider),1
1001,Ainda Há Tempo,0
1002,Fellini,1
1003,Lion Man,1
1004,Espiral de Ilusão,2
1005,Yemanjá Chegou,1
1006,Tô Pra Ver,0
1007,Terapia,1
1008,Aló,0
1009,Vasilhame,1
1010,Sucrilhos,0
1011,Chuva Ácida,0
1012,Breaco,0
1013,Reza Forte,1
1014,É o Teste,1
1015,Pequenina,0
1016,Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,2
1017,Até Me Emocionei,1
1018,Vida Loka I - Live,1
1019,Demorô,1
1020,Guerra Batalha,2
1021,Duas Cidades,0
1022,Mariô,1
1023,Só Mais Uma Noite - Live,1
1024,Pretos Ganhando Dinheiro Incomoda Demais,1
1025,Samba Sambei,0
1026,La Makinita,1
1027,Me Corte na Boca do Céu a Morte Não Pede Perdão,2
1028,Menino Mimado,1
1029,Aprendendo a Sobreviver,1
1030,Tengo Luquita,1
1031,Primavera (Vai Chuva),0
1032,A Cada Vento - Live,1
1033,Detergente,0
1034,Nas Águas,0
1035,Plano de Voo,1
1036,Chiquitita,0
1037,Freguês da Meia Noite,0
1038,Hora da Decisão,1
1039,"Jah Jah Revolta, Pt. 2",1
1040,Dia da Caça,0
1041,Fio de Pumo (Padê Onã),0
1042,Pegue Pra Ela,1
1043,Filha do Maneco,0
1044,Cria de Favela,0
1045,Boca Fofa,1
1046,Calçada,0
1047,Zica Vai Lá - Live,0
